#TYPE System.Diagnostics.Process
"__NounName","Name","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"Process","ApplicationFrameHost","284","2199172165632","14450688","9564160","19304","C:\Windows\system32\ApplicationFrameHost.exe","Microsoft Corporation","1.34375","10.0.10240.16384 (th1.150709-1700)","10.0.10240.16384","Application Frame Host","Microsoft? Windows? Operating System","8",,"False",,"3084","Microsoft.Win32.SafeHandles.SafeProcessHandle","284","1952",".","196964","Calculator","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19304","19304","9564160","9564160","306528","306528","11317248","11317248","28327936","28327936","153751552","2199177007104","True","Normal","9564160","9564160","00:00:00.9218750","ApplicationFrameHost","1","True","1","System.Diagnostics.ProcessStartInfo","1/13/2016 8:00:19 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.3437500","00:00:00.4218750","148910080","2199172165632","False",,,,"14450688","14450688",,
"Process","audiodg","172","2199068590080","10838016","6074368","10800",,,"0.109375",,,,,"8",,,,,,"172","1788",".","0","",,,,,"10800","10800","6074368","6074368","89464","89464","6991872","6991872","11685888","11685888","46751744","2199070007296",,,"6074368","6074368","00:00:00.0625000","audiodg",,"True","0","System.Diagnostics.ProcessStartInfo","1/13/2016 7:05:34 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1093750","00:00:00.0468750","45334528","2199068590080","False",,,,"10838016","10838016",,
"Process","Calculator","379","217444352","29122560","20824064","23432","C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1512.24020.0_x64__8wekyb3d8bbwe\Calculator.exe",,"1.734375",,,,,"8",,"False",,"1628","Microsoft.Win32.SafeHandles.SafeProcessHandle","379","4448",".","0","","System.Diagnostics.ProcessModule (Calculator.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","23432","23432","20824064","20824064","380968","380968","22126592","22126592","61943808","61943808","233656320","233656320","True","Normal","20824064","20824064","00:00:00.5937500","Calculator","1","True","1","System.Diagnostics.ProcessStartInfo","1/13/2016 8:16:53 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.7343750","00:00:01.1406250","217444352","217444352","False",,,,"29122560","29122560",,
"Process","conhost","132","2199117500416","5746688","4755456","11136","C:\Windows\system32\conhost.exe","Microsoft Corporation","1.984375","10.0.10240.16384 (th1.150709-1700)","10.0.10240.16384","Console Window Host","Microsoft? Windows? Operating System","8",,"False",,"1508","Microsoft.Win32.SafeHandles.SafeProcessHandle","132","2756",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","11136","11136","4755456","4755456","182952","182952","4849664","4849664","16056320","16056320","96972800","2199120228352","True","Normal","4755456","4755456","00:00:01.6562500","conhost","1","True","1","System.Diagnostics.ProcessStartInfo","1/13/2016 8:03:57 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.9843750","00:00:00.3281250","94244864","2199117500416","False",,,,"5746688","5746688",,
"Process","csrss","232","2199071727616","1642496","1171456","13248",,,"0.703125",,,,,"13",,,,,,"232","564",".","0","",,,,,"13248","13248","1171456","1171456","144112","144112","1351680","1351680","3776512","3776512","49721344","2199072976896",,,"1171456","1171456","00:00:00.4687500","csrss",,"True","0","System.Diagnostics.ProcessStartInfo","1/13/2016 7:57:55 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.7031250","00:00:00.2343750","48472064","2199071727616","False",,,,"1642496","1642496",,
"Process","csrss","193","2199163650048","1814528","1482752","18984",,,"2.3125",,,,,"13",,,,,,"193","632",".","0","",,,,,"18984","18984","1482752","1482752","318024","318024","18763776","18763776","37060608","37060608","201207808","2199224463360",,,"1482752","1482752","00:00:02.0781250","csrss",,"True","1","System.Diagnostics.ProcessStartInfo","1/13/2016 7:57:55 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.3125000","00:00:00.2343750","140394496","2199163650048","False",,,,"1814528","1814528",,
"Process","dllhost","209","2199077609472","7147520","3502080","14088","C:\Windows\system32\dllhost.exe","Microsoft Corporation","0.40625","10.0.10240.16384 (th1.150709-1700)","10.0.10240.16384","COM Surrogate","Microsoft? Windows? Operating System","8",,"False",,"1452","Microsoft.Win32.SafeHandles.SafeProcessHandle","209","2220",".","0","","System.Diagnostics.ProcessModule (dllhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14088","14088","3502080","3502080","83208","83208","3891200","3891200","12406784","12406784","61820928","2199085076480","True","Normal","3502080","3502080","00:00:00.1093750","dllhost","1","True","0","System.Diagnostics.ProcessStartInfo","1/13/2016 7:58:02 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4062500","00:00:00.2968750","54353920","2199077609472","False",,,,"7147520","7147520",,
"Process","dwm","386","2199222697984","53358592","51277824","34592","C:\Windows\system32\dwm.exe","Microsoft Corporation","6.703125","10.0.10240.16384 (th1.150709-1700)","10.0.10240.16384","Desktop Window Manager","Microsoft? Windows? Operating System","13",,"False",,"1700","Microsoft.Win32.SafeHandles.SafeProcessHandle","386","952",".","0","","System.Diagnostics.ProcessModule (dwm.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","34592","34592","51277824","51277824","326600","326600","91684864","91684864","77619200","77619200","265818112","2199289073664","True","High","51277824","51277824","00:00:04.5625000","dwm","1","True","1","System.Diagnostics.ProcessStartInfo","1/13/2016 7:57:56 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:06.7031250","00:00:02.1406250","199442432","2199222697984","False",,,,"53358592","53358592",,
"Process","explorer","1529","2199438352384","66473984","24412160","72824","C:\Windows\Explorer.EXE","Microsoft Corporation","20.828125","10.0.10240.16384 (th1.150709-1700)","10.0.10240.16384","Windows Explorer","Microsoft? Windows? Operating System","8",,"False",,"1708","Microsoft.Win32.SafeHandles.SafeProcessHandle","1529","3168",".","65716","","System.Diagnostics.ProcessModule (Explorer.EXE)","1413120","204800","System.Diagnostics.ProcessModuleCollection","72824","72824","24412160","24412160","816008","816008","50585600","50585600","93749248","93749248","462295040","2199485550592","True","Normal","24412160","24412160","00:00:13.5312500","explorer","1","True","1","System.Diagnostics.ProcessStartInfo","1/13/2016 8:00:06 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:20.8281250","00:00:07.2968750","415096832","2199438352384","False",,,,"66473984","66473984",,
"Process","Idle","0","65536","4096","0","0",,,,,,,,"0",,,,,,"0","0",".","0","",,,,,"0","0","0","0","0","0","0","0","4096","4096","65536","65536",,,"0","0",,"Idle",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"65536","65536","False",,,,"4096","4096",,
